s,p,d,c,o,id,n,Long,Lat
low,18,1814,225,KRAK,150220090,LEŻACHÓW,22.603055555555557,50.140277777777776
low,22,2208,476,GDYN,154170160,LĘBORK 2,17.747222222222224,54.54194444444444
low,24,2409,181,POZN,150190200,LGOTA NADWARCIE,19.259444444444444,50.61833333333333
low,04,0408,279,GDYN,152190040,LIPNO,19.178055555555556,52.846111111111114
low,06,0608,24,KRAK,151220090,LUBARTÓW,22.64361111111111,51.49805555555556
lowOutdated,06,0663,246,KRAK,151220070,LUBLIN,22.542222222222225,51.217777777777776
low,18,1803,218,KRAK,149210040,ŁABUZIE,21.309722222222224,49.98777777777778
low,24,2401,212,KRAK,150190130,ŁAGISZA,19.185555555555556,50.35027777777778
low,02,0219,134,WROC,150160090,ŁAŻANY,16.4925,50.95305555555556
low,32,3214,42,GDYN,153150080,ŁOBEZ,15.613333333333333,53.62916666666667
low,14,1433,267148,SOWR,152210120,ŁOCHÓW,21.678333333333335,52.51
low,24,2417,2132,KRAK,149190070,ŁODYGOWICE,19.13611111111111,49.727222222222224
lowOutdated,02,0206,16,WROC,150150090,ŁOMNICA,15.803055555555556,50.87638888888889
low,08,0810,166,WROC,151150090,ŁOZY,15.368611111111111,51.49138888888889
low,06,0620,24,KRAK,150230080,MICHALÓW,23.020555555555553,50.73416666666667
low,26,2611,234,KRAK,151210020,MICHAŁÓW,21.101111111111113,51.01166666666666
low,26,2608,216,KRAK,150200050,MICHAŁÓW,20.45638888888889,50.49166666666667
low,18,1811,218,KRAK,150210120,MIELEC 2,21.43027777777778,50.27916666666667
low,08,0806,1888,POZN,152150180,MIERZĘCIN,15.829444444444444,52.95583333333334
low,02,0208,12,WROC,150160190,MIĘDZYLESIE,16.664166666666667,50.15555555555555
low,28,2816,264,SOWR,153210230,MIKOSZE,21.923055555555557,53.80583333333333
low,24,2461,211,KRAK,149190030,MIKUSZOWICE,19.074166666666667,49.779444444444444
low,02,0212,166,WROC,150150010,MIRSK,15.383888888888889,50.989444444444445
low,26,2604,2178,KRAK,150210030,MOCHA,21.080277777777777,50.67055555555555
low,14,1414,271,SOWR,152200110,MODLIN,20.65972222222222,52.43055555555555
low,26,2604,2164,KRAK,150200120,MORAWICA,20.616666666666667,50.750277777777775
low,12,1217,2141,KRAK,149200070,MORSKIE OKO,20.07138888888889,49.200833333333335
low,12,1207,2138,KRAK,149200080,MSZANA DOLNA,20.079444444444444,49.67472222222222
